run,gen,meanfitness,fitness
run_1,0,5298,EUC
run_1,1,4263,EUC
run_1,2,3265,EUC
run_1,3,2158,EUC
run_1,4,1268,EUC
run_2,0,6398,EUC
run_2,1,5267,EUC
run_2,2,4856,EUC
run_2,3,3629,EUC
run_2,4,2748,EUC
run_3,0,8567,EUC
run_3,1,7415,EUC
run_3,2,2594,EUC
run_3,3,3695,EUC
run_3,4,8549,EUC
run_1,0,9485,SSD
run_1,1,7456,SSD
run_1,2,4856,SSD
run_1,3,2145,SSD
run_1,4,3219,SSD
run_2,0,6485,SSD
run_2,1,7482,SSD
run_2,2,3641,SSD
run_2,3,5286,SSD
run_2,4,9875,SSD
run_3,0,4158,SSD
run_3,1,762,SSD
run_3,2,3258,SSD
run_3,3,444,SSD
run_3,4,1587,SSD
